""	"Group"	"Site"	"Host"	"Region"	"Type"	"Year"	"Province_1"	"Province_2"	"Conservation"	"gut_section"	"Sex"	"Size"	"Size_range"	"Longitude"	"Latitude"	"BO22_chlomean_bdmean"	"BO22_curvelmean_bdmean"	"BO22_dissoxmean_bdmean"	"BO22_ironmean_bdmean"	"BO22_phosphatemean_bdmean"	"BO22_lightbotmean_bdmean"	"BO22_ph"	"BO22_nitratemean_bdmean"	"BO22_tempmean_bdmean"	"BO22_carbonphytomean_bdmean"	"BO22_ppmean_bdmean"	"BO22_salinitymean_bdmean"	"BO22_silicatemean_bdmean"
"C10_1_Chi"	"C10_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"42"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C10_2_Chi"	"C10_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"42"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C10_Chi_W"	"C10_Chi_W"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"42"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C10_FALK_22"	"C10_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"34"	"30-35"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C10_Paf"	"C10_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"45"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C10a_Par1"	"C10a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"M"	"27"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C10b_Par1"	"C10b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"27"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C10c_Par1"	"C10c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"27"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C11_1_Chi"	"C11_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"43.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C11_2_Chi"	"C11_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"43.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
